timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-06-29T00:00:00.000Z";"2024-06-29T23:59:59.999Z";"2024-06-29T23:19:00.000Z";"2024-06-29T00:31:00.000Z";"2781";0.1784995837;0.1929652607;0.1765412033;0.1910517278;100628175.78;4596660785.43;"2024-06-29T23:59:59.999Z"
"2024-06-28T00:00:00.000Z";"2024-06-28T23:59:59.999Z";"2024-06-28T11:37:00.000Z";"2024-06-28T08:04:00.000Z";"2781";0.1817042023;0.1844869151;0.1768490486;0.1784649831;91333697.66;4292226618.18;"2024-06-28T23:59:59.999Z"
"2024-06-27T00:00:00.000Z";"2024-06-27T23:59:59.999Z";"2024-06-27T01:25:00.000Z";"2024-06-27T09:17:00.000Z";"2781";0.1761939331;0.1826111554;0.1717464079;0.1816653657;152556242.9;4367566897.43;"2024-06-27T23:59:59.999Z"
"2024-06-26T00:00:00.000Z";"2024-06-26T23:59:59.999Z";"2024-06-26T23:49:00.000Z";"2024-06-26T05:31:00.000Z";"2781";0.1618343859;0.1776429372;0.1587515287;0.1762064486;100363713.92;4234747913.92;"2024-06-26T23:59:59.999Z"
"2024-06-25T00:00:00.000Z";"2024-06-25T23:59:59.999Z";"2024-06-25T16:40:00.000Z";"2024-06-25T08:46:00.000Z";"2781";0.1542473578;0.1621434914;0.1529312992;0.1618588721;65846787.9;3888478457.95;"2024-06-25T23:59:59.999Z"
"2024-06-24T00:00:00.000Z";"2024-06-24T23:59:59.999Z";"2024-06-24T02:03:00.000Z";"2024-06-24T09:41:00.000Z";"2781";0.1518166054;0.1559554018;0.1445464859;0.1542086221;83611017.21;3703308075.76;"2024-06-24T23:59:59.999Z"
"2024-06-23T00:00:00.000Z";"2024-06-23T23:59:59.999Z";"2024-06-23T03:07:00.000Z";"2024-06-23T16:23:00.000Z";"2781";0.1530357462;0.1589306054;0.1510985328;0.1518441351;51190797.37;3645165038.69;"2024-06-23T23:59:59.999Z"
"2024-06-22T00:00:00.000Z";"2024-06-22T23:59:59.999Z";"2024-06-22T22:28:00.000Z";"2024-06-22T00:54:00.000Z";"2781";0.1453264537;0.1539227403;0.1441708431;0.1530505992;39141690.61;3672751854.82;"2024-06-22T23:59:59.999Z"
"2024-06-21T00:00:00.000Z";"2024-06-21T23:59:59.999Z";"2024-06-21T07:41:00.000Z";"2024-06-21T13:36:00.000Z";"2781";0.146272609;0.1469715075;0.1421308091;0.1453509815;47038420.3;3486680634.84;"2024-06-21T23:59:59.999Z"
"2024-06-20T00:00:00.000Z";"2024-06-20T23:59:59.999Z";"2024-06-20T11:37:00.000Z";"2024-06-20T16:10:00.000Z";"2781";0.1439415561;0.1508300554;0.1417225767;0.1462174557;54048274.19;3506153241.65;"2024-06-20T23:59:59.999Z"
"2024-06-19T00:00:00.000Z";"2024-06-19T23:59:59.999Z";"2024-06-19T07:03:00.000Z";"2024-06-19T00:35:00.000Z";"2781";0.1435408512;0.1490310493;0.1411476949;0.1439415561;54574018.47;3450288889.57;"2024-06-19T23:59:59.999Z"
"2024-06-18T00:00:00.000Z";"2024-06-18T23:59:59.999Z";"2024-06-18T00:08:00.000Z";"2024-06-18T01:49:00.000Z";"2781";0.1527306999;0.152806946;0.1351725283;0.143559587;111365685.9;3439844149.53;"2024-06-18T23:59:59.999Z"
"2024-06-17T00:00:00.000Z";"2024-06-17T23:59:59.999Z";"2024-06-17T00:48:00.000Z";"2024-06-17T16:22:00.000Z";"2781";0.1596690728;0.1617127116;0.149871813;0.1527326204;70495822.65;3658272938.8;"2024-06-17T23:59:59.999Z"
"2024-06-16T00:00:00.000Z";"2024-06-16T23:59:59.999Z";"2024-06-16T19:07:00.000Z";"2024-06-16T04:52:00.000Z";"2781";0.1532295483;0.1608003117;0.150432775;0.1596830916;43949114.49;3823318154.8;"2024-06-16T23:59:59.999Z"
"2024-06-15T00:00:00.000Z";"2024-06-15T23:59:59.999Z";"2024-06-15T04:13:00.000Z";"2024-06-15T20:55:00.000Z";"2781";0.1628898236;0.1666002606;0.1505468489;0.1532076331;87373989.19;3666908885.52;"2024-06-15T23:59:59.999Z"
"2024-06-14T00:00:00.000Z";"2024-06-14T23:59:59.999Z";"2024-06-14T06:49:00.000Z";"2024-06-14T18:27:00.000Z";"2781";0.1660064894;0.1693152201;0.1587649243;0.1628928131;66538248.18;3897248088.07;"2024-06-14T23:59:59.999Z"
